20-03-2018 12:27:55 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (2990e5f15b1a06185bc505198712d319)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 12:33:48 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_12-33-48*******************
20-03-2018 12:34:06 INFO  Actionwords:1098 - <----------Scenario Started: null--------------->
20-03-2018 12:34:33 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (46dd4bfe7f5d742f9bfe9f37c5ac96bc)] -> id: Email]
20-03-2018 12:34:34 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 12:34:34 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 12:34:34 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (46dd4bfe7f5d742f9bfe9f37c5ac96bc)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 12:35:49 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_12-35-49*******************
20-03-2018 12:35:56 INFO  Actionwords:1096 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 12:36:00 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (ea71fbb878e6357732aedf5c9f06fda6)] -> id: Email]
20-03-2018 12:36:00 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 12:36:00 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 12:36:00 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (ea71fbb878e6357732aedf5c9f06fda6)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 13:15:41 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_13-15-41*******************
20-03-2018 13:15:47 INFO  Actionwords:1099 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 13:15:52 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (ac1583f6b4580f7255a7d355f22a254a)] -> id: Email]
20-03-2018 13:15:52 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 13:15:53 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 13:15:53 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (ac1583f6b4580f7255a7d355f22a254a)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 13:15:54 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (ac1583f6b4580f7255a7d355f22a254a)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 13:16:55 INFO  Actionwords:1109 - <----------Scenario Completed: Select single statement pending agreement--------------->
